"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL1788387";"TECLOZAN";"Falmonox|TECLOZAN|WIN 13,146";"Small molecule";"0";"502.27";"";"";"4.02";"59.08";"4";"0";"1";"14";"N";"0.29";"None";"None";"3.49";"3.49";"1";"MOL";"0";"30";"6";"0";"1";"500.0803";"NEUTRAL";"C20H28Cl4N2O4";"CCOCCN(Cc1ccc(CN(CCOCC)C(=O)C(Cl)Cl)cc1)C(=O)C(Cl)Cl"
"CHEMBL1788390";"PROPENIDAZOLE";"PROPENIDAZOLE";"Small molecule";"0";"267.24";"";"";"0.86";"104.33";"7";"0";"0";"5";"N";"0.20";"None";"1.89";"1.15";"1.15";"1";"MOL";"0";"19";"8";"0";"0";"267.0855";"NEUTRAL";"C11H13N3O5";"CCOC(=O)/C(=C/c1ncc([N+](=O)[O-])n1C)C(C)=O"
"CHEMBL2103768";"DILOXANIDE";"DILOXANIDE";"Small molecule";"0";"234.08";"1";"1";"2.16";"40.54";"2";"1";"0";"2";"Y";"0.80";"9.39";"None";"2.05";"2.05";"1";"MOL";"0";"14";"3";"1";"0";"233.0010";"NEUTRAL";"C9H9Cl2NO2";"CN(C(=O)C(Cl)Cl)c1ccc(O)cc1"
"CHEMBL1788385";"TILBROQUINOL";"TILBROQUINOL";"Small molecule";"0";"238.08";"4";"23";"3.01";"33.12";"2";"1";"0";"0";"N";"0.76";"7.84";"4.46";"3.11";"2.97";"2";"MOL";"0";"13";"2";"1";"0";"236.9789";"NEUTRAL";"C10H8BrNO";"Cc1cc(Br)c(O)c2ncccc12"
"CHEMBL1788404";"BEPHENIUM";"BEPHENIUM";"Small molecule";"0";"256.37";"";"";"3.34";"9.23";"1";"0";"0";"6";"N";"0.72";"None";"None";"-0.60";"-0.60";"2";"MOL";"0";"19";"2";"0";"0";"256.1696";"NEUTRAL";"C17H22NO+";"C[N+](C)(CCOc1ccccc1)Cc1ccccc1"
"CHEMBL1401";"NITAZOXANIDE";"Alinia|NITAZOXANIDE|NSC-697855|PH 5776|PH-5776";"Small molecule";"4";"307.29";"216";"820";"2.23";"111.43";"7";"1";"0";"4";"N";"0.40";"10.62";"None";"2.12";"2.12";"2";"MOL";"0";"21";"8";"1";"0";"307.0263";"NEUTRAL";"C12H9N3O5S";"CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1"
"CHEMBL224325";"CHLORQUINALDOL";"CHLORQUINALDOL|CLORQUINALDOL|STEROXIN";"Small molecule";"4";"228.08";"33";"67";"3.56";"33.12";"2";"1";"0";"0";"N";"0.75";"6.99";"4.00";"3.17";"2.60";"2";"MOL";"0";"14";"2";"1";"0";"226.9905";"NEUTRAL";"C10H7Cl2NO";"Cc1ccc2c(Cl)cc(Cl)c(O)c2n1"
"CHEMBL1788400";"CLEFAMIDE";"CHLOROPHENOXAMIDE|CLEFAMIDE";"Small molecule";"0";"399.23";"";"";"3.51";"92.91";"5";"1";"0";"8";"N";"0.42";"None";"None";"3.17";"3.17";"2";"MOL";"0";"26";"7";"1";"0";"398.0436";"NEUTRAL";"C17H16Cl2N2O5";"O=C(C(Cl)Cl)N(CCO)Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1"
"CHEMBL1082354";"TENONITROZOLE";"TENONITROZOLE";"Small molecule";"0";"255.28";"38";"69";"2.37";"85.13";"6";"1";"0";"3";"N";"0.67";"9.75";"None";"2.43";"2.43";"2";"MOL";"0";"16";"6";"1";"0";"254.9772";"NEUTRAL";"C8H5N3O3S2";"O=C(Nc1ncc([N+](=O)[O-])s1)c1cccs1"
"CHEMBL32838";"FUMAGILLIN";"FUMAGILLIN|Fumidil";"Small molecule";"0";"458.55";"31";"77";"3.92";"97.89";"6";"1";"0";"10";"N";"0.17";"4.64";"None";"4.05";"1.36";"0";"MOL";"0";"33";"7";"1";"0";"458.2305";"ACID";"C26H34O7";"CO[C@H]1[C@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)CO2"
"CHEMBL50588";"EMETINE";"EMETINE|Emetine|GNF-Pf-196|TCMDC-125531";"Small molecule";"0";"480.65";"189";"875";"4.94";"52.19";"6";"1";"0";"7";"N";"0.61";"None";"9.23";"4.49";"1.51";"2";"MOL";"0";"35";"6";"1";"0";"480.2988";"BASE";"C29H40N2O4";"CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21"
