Name;Max Phase;Molecular Weight;AlogP;Topological Polar Surface Area;Rotatable Bond Count;Inorganic Flag;Heavy Atom Count;Hydrogen Bond Acceptor Count;Hydrogen Bond Donor Count;Molecular Formula;positive charge;negative charge;double bond equivalents
DIPROLEANDOMYCIN;0;800.0;3.83;178.12;10.0;0;56.0;15.0;1.0;C41H69NO14;0;0;8.0
AMMONIUM VALERATE;0;119.16;1.61325199036437;38.3;3.0;0;8.0;3.0;2.0;C5H13NO2;0;0;0.0
ASMARINE J;0;407.61;5.81;55.63;3.0;0;30.0;5.0;1.0;C25H37N5;0;0;10.0
NAPHTHALEN-1-YL-METHANOL;0;158.2;2.33;20.23;1.0;0;12.0;1.0;1.0;C11H10O;0;0;7.0
DIFLUCORTOLONE PIVALATE;0;478.58;4.33;80.67;3.0;0;34.0;5.0;1.0;C27H36F2O5;0;0;9.0
10-ACETOXY-GINKGOLIDE B;0;450.44;0.23;134.66;1.0;0;32.0;10.0;1.0;C22H26O10;0;0;10.0
SODIUM GLUCOSULFONE;0;780.71;-5.36;369.24;18.0;0;47.0;20.0;14.0;C24H34N2Na2O18S3;0;1;9.0
4'-O-METHYL-GALLOCATECHIN;0;320.3;1.55;119.61;2.0;0;23.0;7.0;5.0;C16H16O7;0;0;9.0
4-HYDROXY-1H-PHENALEN-1-ONE;0;196.21;2.75;37.3;0.0;0;15.0;2.0;1.0;C13H8O2;0;0;10.0
THEOBROMINE SODIUM SALICYLATE;0;340.27;-1.04;72.68;0.0;0;13.0;6.0;1.0;C14H13N4NaO5;0;0;10.5
GLYOXYLATE;0;74.03;-0.73;54.37;1.0;0;5.0;3.0;1.0;C2H2O3;0;1;2.0
ALPINUMISOFLAVONE;0;336.34;4.06;79.9;1.0;0;25.0;5.0;2.0;C20H16O5;0;0;13.0
GIGANTETRONENIN;0;596.89;7.06;116.45;26.0;0;42.0;7.0;4.0;C35H64O7;0;0;4.0
IRCINOLIN A;0;382.5;2.6;104.06;12.0;0;27.0;6.0;3.0;C21H34O6;0;0;5.0
PHYSALIN F;0;526.54;0.77;137.96;0.0;0;38.0;10.0;1.0;C28H30O10;0;0;14.0
ALPHA-HYDRAZINE ORNITHINE;0;147.18;-1.36;101.37;5.0;0;10.0;5.0;6.0;C5H13N3O2;1;1;1.0
ELANTRINE;0;292.43;4.02;6.48;3.0;0;22.0;2.0;0.0;C20H24N2;1;0;10.0
PIROXICILLIN;0;672.7;0.77;266.27;9.0;0;46.0;17.0;9.0;C27H28N8O9S2;0;1;18.0
2-BROMO-N-METHYLSECOBOLDINE;0;420.3;4.29;62.16;5.0;0;26.0;5.0;2.0;C20H22BrNO4;1;0;10.0
TIQUIZIUM;0;330.54;5.4;0.0;2.0;0;22.0;1.0;0.0;C19H24NS2+;1;0;9.0
FLUPREDNISOLONE VALERATE;0;462.56;3.25;100.9;6.0;0;33.0;6.0;2.0;C26H35FO6;0;0;9.0
FLUAZACORT;0;459.51;2.66;102.26;3.0;0;33.0;7.0;1.0;C25H30FNO6;0;0;11.0
CROTETAMIDE;0;226.32;1.28;40.62;5.0;0;16.0;4.0;0.0;C12H22N2O2;0;0;3.0
DOXYCYCLINE FOSFATEX;2;786.34;-0.35;181.62;2.0;0;32.0;10.0;7.0;C22H27N2NaO20P4;0;1;10.5
ELATOL;0;333.7;4.78;20.23;0.0;0;18.0;1.0;1.0;C15H22BrClO;0;0;4.0
FLOSATIDIL;0;525.64;5.62;53.09;11.0;0;36.0;6.0;0.0;C26H34F3N3O3S;0;0;10.0
PRIZIDILOL HYDROCHLORIDE;0;367.88;1.56;105.32;7.0;0;24.0;7.0;5.0;C17H26ClN5O2;1;0;7.0
UDONITRECTAG;2;353.37;1.83;76.07;5.0;0;26.0;6.0;1.0;C20H19NO5;0;1;12.0
CASSIAMIN A;0;522.47;4.05;169.43;1.0;0;39.0;9.0;5.0;C30H18O9;0;0;22.0
TRIAMCINOLONE ACETONIDE SODIUM PHOSPHATE;0;558.45;2.54;139.59;4.0;0;35.0;9.0;3.0;C24H30FNa2O9P;0;1;9.5
XENYTROPIUM;0;456.61;5.31;46.53;7.0;0;34.0;4.0;1.0;C30H34NO3+;1;0;15.0
TUPICHINOL A;0;286.33;2.75;58.92;2.0;0;21.0;4.0;2.0;C17H18O4;0;0;9.0
MANSONIN;0;578.7;2.06;140.98;6.0;0;41.0;10.0;3.0;C31H46O10;0;0;9.0
BLI-489;1;305.31;0.64;84.66;2.0;0;21.0;7.0;1.0;C13H11N3O4S;0;1;10.0
IOXOTRIZOIC ACID;0;629.91;2.09;115.73;4.0;0;21.0;7.0;4.0;C11H9I3N2O5;0;1;7.0
PURMORPHAMINE;0;520.64;6.86;77.33;6.0;0;39.0;8.0;1.0;C31H32N6O2;0;0;19.0
BISBENTIAMINE;0;770.94;6.0;196.82;19.0;0;54.0;14.0;4.0;C38H42N8O6S2;0;0;22.0
MALEIC ANHYDRIDE;0;98.06;-0.37;43.37;0.0;0;7.0;3.0;0.0;C4H2O3;0;0;4.0
EDETATE DIPOTASSIUM;0;368.42;-0.9273465230926384;161.0;9.0;0;22.0;10.0;2.0;C10H14K2N2O8;0;0;5.0
GITOXIN;0;780.95;2.22;203.06;7.0;0;55.0;14.0;6.0;C41H64O14;0;0;10.0
ARBAPROSTIL;0;366.5;3.64;94.83;12.0;0;26.0;5.0;3.0;C21H34O5;0;1;5.0
PICFELTARRACEMIN IB;0;792.96;1.68;221.9;7.0;0;56.0;14.0;7.0;C42H64O14;0;0;11.0
SURITOZOLE;0;223.28;2.29;22.75;1.0;0;15.0;3.0;0.0;C10H10FN3S;0;0;7.0
LYNAMICIN A;0;424.29;6.4;73.67;3.0;0;29.0;5.0;3.0;C22H15Cl2N3O2;0;0;16.0
METHYLPHOSPHONIC ACID DIISOPROPYL ESTER;0;180.18;2.66;35.53;4.0;0;11.0;3.0;0.0;C7H17O3P;0;0;0.0
LYNGBYABELLIN A;0;691.7;5.52;156.81;7.0;0;44.0;11.0;3.0;C29H40Cl2N4O7S2;0;0;11.0
ETOFURADINE;0;295.39;3.4;32.51;6.0;0;22.0;4.0;0.0;C18H21N3O;1;0;10.0
N-DECYLCINNAMAMIDE;0;287.45;4.96;29.1;11.0;0;21.0;2.0;1.0;C19H29NO;0;0;6.0
CETHEXONIUM CHLORIDE;0;404.12;6.85;20.23;16.0;0;26.0;2.0;1.0;C24H50ClNO;0;0;0.0
TIPENTOSIN;0;371.5;3.36;58.56;5.0;0;26.0;4.0;2.0;C21H25NO3S;1;0;10.0
ANISPERIMUS;0;401.56;-0.23;169.88;17.0;0;28.0;10.0;9.0;C18H39N7O3;1;0;3.0
HISTAMINE HYDROCHLORIDE;0;147.61;-0.09;54.7;2.0;0;8.0;3.0;3.0;C5H10ClN3;1;0;2.0
7-CHLOROETHYLTHEOPHYLLINE;0;242.67;-0.33;61.82;2.0;0;16.0;6.0;0.0;C9H11ClN4O2;0;0;6.0
CROPROPAMIDE;0;240.35;1.67;40.62;6.0;0;17.0;4.0;0.0;C13H24N2O2;0;0;3.0
TOLGABIDE;0;365.26;4.11;75.68;6.0;0;24.0;4.0;3.0;C18H18Cl2N2O2;0;0;10.0
TERPHENOLIDE;0;386.36;2.57;122.52;6.0;0;28.0;8.0;3.0;C20H18O8;0;1;12.0
TERNIDAZOLE;0;185.18;0.48;81.19;4.0;0;13.0;6.0;1.0;C7H11N3O3;0;0;4.0
ROLETAMIDE;0;289.33;2.28;48.0;6.0;0;21.0;5.0;0.0;C16H19NO4;0;0;8.0
TRICLOCARBAN;4;315.59;5.29;41.13;2.0;0;19.0;3.0;2.0;C13H9Cl3N2O;0;0;9.0
XESTODECALACTONE B;0;280.28;0.91;104.06;0.0;0;20.0;6.0;3.0;C14H16O6;0;0;7.0
ACETOPHENAZINE MALEATE;4;643.72;3.49;47.02;7.0;0;29.0;5.0;1.0;C31H37N3O10S;0;0;15.0
CURTISIAN L;0;454.43;3.44;153.75;6.0;0;33.0;9.0;5.0;C24H22O9;0;0;14.0
