Name;Max Phase;Molecular Weight;AlogP;Topological Polar Surface Area;Rotatable Bond Count;Inorganic Flag;Heavy Atom Count;Hydrogen Bond Acceptor Count;Hydrogen Bond Donor Count;Molecular Formula;positive charge;negative charge;target system;double bond equivalents
MAGNESIUM OROTATE;4;334.48;-2.179268712812771;197.0;0.0;0;23.0;8.0;4.0;C10H6MgN4O8;0;0;GASTRIC / METABOLISM;10.0
ALOGLUTAMOL;0;377.28;-3.201374230093524;230.0;7.0;0;24.0;13.0;11.0;C10H24AlNO12;0;0;GASTRIC / METABOLISM;0.0
PIPROZOLIN;0;298.41;1.8;49.85;4.0;0;20.0;5.0;0.0;C14H22N2O3S;0;0;GASTRIC / METABOLISM;5.0
CALCIUM LACTATE GLUCONATE;0;324.3;-3.720065499717135;202.0;4.0;0;20.0;10.0;6.0;C9H16CaO10;0;0;GASTRIC / METABOLISM;2.0
ALUMINIUM GLYCINATE;0;135.05;-0.97;63.32;1.0;0;5.0;3.0;3.0;C2H6AlNO4;1;1;GASTRIC / METABOLISM;0.5
KAOLIN;0;258.16;-1.1484894284814562;98.0;4.0;1;13.0;9.0;2.0;H4Al2O9Si2;0;0;GASTRIC / METABOLISM;0.0
OXABOLONE CIPIONATE;0;414.59;5.9;63.6;4.0;0;30.0;4.0;1.0;C26H38O4;0;0;GASTRIC / METABOLISM;8.0
POTASSIUM CITRATE;4;324.41;-2.4275203197679716;141.0;2.0;0;16.0;7.0;1.0;C6H7K3O8;0;0;GASTRIC / METABOLISM;3.5
CALCIUM GLYCERYLPHOSPHATE;0;210.13;-1.55;107.22;4.0;0;10.0;6.0;4.0;C3H7CaO6P;0;1;GASTRIC / METABOLISM;0.5
METHANDROSTENOLONE;4;300.44;4.05;37.3;0.0;0;22.0;2.0;1.0;C20H28O2;0;0;GASTRIC / METABOLISM;7.0
NICOTINYL METHYLAMIDE;0;136.15;0.44;41.99;1.0;0;10.0;3.0;1.0;C7H8N2O;0;0;GASTRIC / METABOLISM;5.0
POTASSIUM BICARBONATE;4;100.11;-5.707824300726337;60.4;0.0;0;5.0;3.0;1.0;CHKO3;0;0;GASTRIC / METABOLISM;1.5
ANETHOLTRITHION;0;240.37;4.21;9.23;2.0;0;14.0;1.0;0.0;C10H8OS3;0;0;GASTRIC / METABOLISM;7.0
ALMASILATE;4;400.62;-3.2850341122908784;116.0;0.0;1;12.0;7.0;5.0;H2Al2MgO13Si4;0;0;GASTRIC / METABOLISM;0.0
SULFAGUANIDINE;4;214.25;-0.77;124.56;2.0;0;14.0;6.0;6.0;C7H10N4O2S;0;0;GASTRIC / METABOLISM;5.0
MAGNESIUM LACTATE;4;202.44;-2.9246530812868823;121.0;0.0;0;13.0;6.0;2.0;C6H10MgO6;0;0;GASTRIC / METABOLISM;2.0
PALONOSETRON;4;296.41;2.66;23.55;1.0;0;22.0;3.0;0.0;C19H24N2O;0;0;GASTRIC / METABOLISM;9.0
METHYLATROPINE;4;304.41;2.08;46.53;4.0;0;22.0;4.0;1.0;C18H26NO3+;1;0;GASTRIC / METABOLISM;7.0
METHYLMETHIONINE SULFONIUM CHLORIDE;0;199.7;-0.33;63.32;4.0;0;10.0;3.0;3.0;C6H14ClNO2S;1;1;GASTRIC / METABOLISM;0.0
(2-BENZHYDRYLOXYETHYL)DIETHYL-METHYLAMMONIUM IODIDE;0;425.35;4.28;9.23;8.0;0;22.0;2.0;0.0;C20H28INO;0;0;GASTRIC / METABOLISM;7.0
SODIUM PHOSPHATE;4;141.96;-4.397710545515727;86.2;0.0;1;8.0;4.0;0.0;HNa2O4P;0;0;GASTRIC / METABOLISM;0.0
CHOLECALCIFEROL;4;384.65;7.62;20.23;6.0;0;28.0;1.0;1.0;C27H44O;0;0;GASTRIC / METABOLISM;6.0
SODIUM FLUORIDE;4;41.99;-1.0;0.0;0.0;1;2.0;1.0;0.0;FNa;0;0;GASTRIC / METABOLISM;0.0
LOPERAMIDE;4;477.05;5.09;43.78;7.0;0;34.0;4.0;1.0;C29H33ClN2O2;1;0;GASTRIC / METABOLISM;14.0
ALUMINIUM ACETOACETATE;0;330.23;0.05;54.37;2.0;0;7.0;3.0;1.0;C12H15AlO9;0;1;GASTRIC / METABOLISM;5.5
STANOZOLOL;4;328.5;4.12;48.91;0.0;0;24.0;3.0;2.0;C21H32N2O;0;0;GASTRIC / METABOLISM;7.0
PHTHALYLSULFATHIAZOLE;4;403.44;2.89;125.46;6.0;0;27.0;8.0;3.0;C17H13N3O5S2;0;1;GASTRIC / METABOLISM;13.0
PROPANTHELINE;4;368.5;4.73;35.53;6.0;0;27.0;4.0;0.0;C23H30NO3+;1;0;GASTRIC / METABOLISM;10.0
ASPIRIN;4;180.16;1.31;63.6;2.0;0;13.0;4.0;1.0;C9H8O4;0;1;GASTRIC / METABOLISM;6.0
LUBIPROSTONE;4;390.47;4.31;83.83;11.0;0;27.0;5.0;2.0;C20H32F2O5;0;1;GASTRIC / METABOLISM;4.0
BALSALAZIDE;4;357.32;2.71;148.65;7.0;0;26.0;9.0;4.0;C17H15N3O6;0;1;GASTRIC / METABOLISM;12.0
TIDIACIC ARGININE;0;351.39;-0.81;86.63;2.0;0;11.0;5.0;3.0;C11H21N5O6S;0;1;GASTRIC / METABOLISM;4.0
ALMAGATE;0;314.98;2.155810932261934;72.2;0.0;1;17.0;12.0;9.0;CH11AlMg3O12;0;0;GASTRIC / METABOLISM;0.0
GLUTAMIC ACID HYDROCHLORIDE;4;183.59;-2.7982857067789855;101.0;4.0;0;11.0;5.0;4.0;C5H10ClNO4;0;0;GASTRIC / METABOLISM;1.0
OXYMETHOLONE;4;332.48;4.4;57.53;0.0;0;24.0;3.0;2.0;C21H32O3;0;0;GASTRIC / METABOLISM;6.0
CYCLOBUTYROL;0;186.25;1.79;57.53;3.0;0;13.0;3.0;2.0;C10H18O3;0;1;GASTRIC / METABOLISM;2.0
DIPHENOXYLATE;4;452.6;5.48;53.33;8.0;0;34.0;4.0;0.0;C30H32N2O2;0;0;GASTRIC / METABOLISM;16.0
MAGALDRATE;4;1115.32;-4.824375944722247;89.6;0.0;1;8.0;5.0;1.0;H33Al5Mg10O40S2;0;0;GASTRIC / METABOLISM;0.0
QUINBOLONE;0;352.52;5.75;26.3;2.0;0;26.0;2.0;0.0;C24H32O2;0;0;GASTRIC / METABOLISM;9.0
DIFENOXIN;4;424.54;5.0;64.33;7.0;0;32.0;4.0;1.0;C28H28N2O2;1;1;GASTRIC / METABOLISM;16.0
CALCIUM LEVULINATE;0;288.31;0.44;54.37;3.0;0;8.0;3.0;1.0;C10H16CaO7;0;1;GASTRIC / METABOLISM;3.0
CALCIUM PANGAMATE;0;600.58;-3.38;147.76;8.0;0;19.0;9.0;5.0;C20H36CaN2O16;0;1;GASTRIC / METABOLISM;4.0
CALCIUM GLUBIONATE;4;610.53;-2.9246530812868823;363.0;15.0;0;39.0;20.0;14.0;C18H34CaO20;0;0;GASTRIC / METABOLISM;2.0
LOPERAMIDE OXIDE;0;493.05;5.1;63.6;7.0;0;35.0;5.0;1.0;C29H33ClN2O3;0;0;GASTRIC / METABOLISM;14.0
